delivery,count,mean,median
Lexington,1197,1825.9326984126983,1391.98
Fort Wayne,1176,1981.8834948979593,1700.17
Baton Rouge,1167,2109.520059982862,1939.01
Bakersfield,1156,3532.1988927335638,3742.535
Hartford,1143,2686.9953718285215,2248.05
Oklahoma City,1140,2332.6837017543858,2224.92
Richmond,1109,2231.707448151488,1691.98
Atlanta,1096,1796.1784489051095,1475.73
Phoenix,1090,3751.473110091743,3921.98
Mobile,1089,1957.161349862259,1769.32
Cincinnati,1084,1743.2549723247232,1401.65
Columbia,1071,1905.366909430439,1523.87
Nashville,1064,1777.2443796992482,1512.99
Tucson,997,3363.1897893681044,3591.79
Shreveport,983,2061.1617802644964,1799.01
Kansas City,980,1869.4055204081633,1743.095
San Antonio,965,2342.243886010363,2345.01
Philadelphia,959,2522.0362565172054,2077.58
Los Angeles,955,3742.250931937173,4046.09
Syracuse,926,2469.81192224622,1927.73
Memphis,912,1830.0977192982457,1554.51
Montgomery,903,1943.5976522702103,1762.2
Grand Rapids,894,2002.3783109619687,1782.99
Milwaukee,859,1776.723958090803,1537.19
Charleston,851,2110.727696827262,1605.32
Amarillo,850,2651.6136117647056,2557.745
New York,833,2510.911860744298,2095.89
Albany,812,2967.7299014778328,2559.395
Greensboro,804,1911.9939427860697,1460.4850000000001
El Paso,769,3008.9797789336803,3089.55
Fresno,763,3865.377155963303,4140.17
Lubbock,754,2479.42075596817,2398.3450000000003
Buffalo,753,2306.2546746347944,1724.06
Jacksonville,746,2127.2926139410188,1769.6100000000001
Houston,718,2148.039582172702,2056.165
Toledo,710,2025.9351267605632,1681.42
Chattanooga,708,1764.6372740112993,1487.9450000000002
Green Bay,660,2176.208772727273,2010.835
Raleigh,656,2222.071448170732,1653.185
Reno,653,3679.871638591118,3783.88
Tulsa,647,1935.6338485316849,1781.06
Dayton,622,1828.947652733119,1503.695
Boston,619,2998.4093699515347,2570.38
Corpus Christi,593,2337.2376728499157,2352.63
Albuquerque,572,2962.7097202797204,2931.23
Tampa,553,2275.4350994575047,2037.74
Indianapolis,553,1786.0637974683546,1546.1
Harrisburg,540,2264.5835370370373,1694.9250000000002
Savannah,528,2009.4830303030303,1597.4499999999998
Baltimore,488,2699.1513934426225,2218.39
Little Rock,471,2006.42042462845,1756.55
San Francisco,467,4064.472997858672,4356.6
Madison,457,1996.6347702407002,1879.91
Austin,441,2338.2650793650796,2347.12
Providence,415,2940.1960481927713,2522.54
Salt Lake City,406,3164.35078817734,3316.0600000000004
New Orleans,373,1912.3008310991956,1688.33
Louisville,367,1781.0184741144415,1493.03
Washington,366,2240.3285519125684,1698.75
St. Louis,344,1796.766046511628,1610.0
Birmingham,318,1818.2556603773587,1592.4
Detroit,307,2125.831140065147,1753.29
Dallas,306,1987.3363071895426,1823.21
Las Vegas,292,3428.3752739726024,3707.765
