pickup,count,mean,median
Oklahoma City,1242,2219.0750966183573,2138.895
Lexington,1209,1824.1402729528534,1374.59
Bakersfield,1193,3519.3654484492877,3804.88
Fort Wayne,1170,1996.9604615384617,1711.435
Hartford,1150,2671.385408695652,2228.705
Richmond,1140,2288.463087719298,1746.6950000000002
Nashville,1124,1761.9692259786475,1435.715
Phoenix,1121,3764.774763603925,3935.62
Baton Rouge,1115,2105.062403587444,1902.94
Mobile,1094,1949.7951279707497,1669.6750000000002
Cincinnati,1080,1775.1671851851852,1436.255
Shreveport,1062,1935.9040866290018,1744.22
Kansas City,1053,1903.4727445394112,1740.57
Columbia,1049,1940.0826310772163,1561.4
Atlanta,1029,1788.589504373178,1411.05
San Antonio,972,2390.510637860082,2341.29
Philadelphia,946,2502.4239429175473,2081.895
Los Angeles,945,3729.6383915343913,3996.61
Milwaukee,944,1858.5488029661017,1594.225
Tucson,944,3310.9962711864405,3535.995
Syracuse,907,2410.286152149945,1969.92
Montgomery,884,2075.7904977375565,1798.77
Greensboro,865,1901.1819537572253,1459.42
Memphis,852,1753.7270305164318,1555.27
Charleston,848,2277.5138679245283,1750.36
Grand Rapids,844,2025.8380805687204,1796.475
Amarillo,836,2603.8075358851675,2502.75
Fresno,827,3878.91,4160.28
New York,816,2519.592781862745,2093.0299999999997
Albany,811,2983.3278791615294,2542.36
Lubbock,796,2436.7849120603014,2413.44
El Paso,768,3110.560078125,3111.6099999999997
Chattanooga,745,1722.937087248322,1444.58
Toledo,745,2015.1444832214763,1688.91
Buffalo,738,2175.7028861788617,1635.555
Houston,723,2085.434937759336,1924.78
Jacksonville,666,2100.73033033033,1821.925
Green Bay,662,2238.05581570997,2047.105
Reno,642,3765.391199376947,3836.925
Tulsa,633,2007.8183254344392,1896.46
Raleigh,607,2205.3357001647446,1621.68
Boston,603,2953.6446766169156,2486.75
Corpus Christi,596,2330.312852348993,2288.915
Albuquerque,581,2871.875438898451,2899.76
Harrisburg,574,2181.892700348432,1573.53
Dayton,543,1814.6207550644567,1541.54
Tampa,542,2185.8016789667895,1958.4850000000001
Indianapolis,539,1763.4850649350649,1478.96
Madison,499,1952.6334669338678,1879.23
Savannah,488,2013.4783606557376,1613.63
Baltimore,478,2740.6333682008367,2180.3
Little Rock,457,1878.024113785558,1588.01
San Francisco,453,4071.2071081677705,4301.81
Providence,425,3134.0736235294116,2603.08
Salt Lake City,394,3144.764111675127,3316.265
Austin,393,2375.7837913486005,2328.57
New Orleans,385,1995.1217662337663,1794.23
Birmingham,364,1852.7970054945054,1573.3600000000001
Louisville,344,1792.7392732558142,1543.555
Detroit,337,2130.416231454006,1815.99
Washington,337,2279.6852818991097,1679.9
St. Louis,318,1929.9807232704402,1735.7800000000002
Las Vegas,277,3292.8219133574007,3633.06
Dallas,276,2143.424347826087,1907.03
