route,count,mean,median
Columbia → Oklahoma City,39,2330.734615384615,2327.43
Phoenix → Shreveport,39,3507.6184615384614,3554.43
Lexington → Atlanta,39,560.1061538461538,553.63
Fort Wayne → Philadelphia,38,1681.0326315789473,1708.835
Shreveport → Hartford,37,2867.768108108108,2812.52
Fort Wayne → Hartford,37,1938.6572972972974,1725.99
Richmond → Oklahoma City,37,3093.435945945946,3126.49
Richmond → Phoenix,37,5190.1945945945945,5010.88
Lexington → Kansas City,37,1042.4745945945945,1029.8
Lexington → Cincinnati,37,396.6918918918919,377.1
Fort Wayne → Cincinnati,36,871.521111111111,857.1500000000001
Mobile → Phoenix,36,4180.469166666667,3842.0
Richmond → Cincinnati,35,1472.597142857143,1445.43
Oklahoma City → Nashville,35,1737.4571428571428,1744.96
Hartford → Baton Rouge,35,3102.1805714285715,3101.26
Oklahoma City → Atlanta,35,1895.6037142857144,1909.99
Oklahoma City → Columbia,35,2333.6028571428574,2279.32
Bakersfield → Hartford,35,5998.482285714286,5402.59
Oklahoma City → Mobile,35,1517.0431428571428,1644.7
Philadelphia → Lexington,35,1708.1748571428573,1691.69
Columbia → Montgomery,35,837.9188571428572,828.77
Fort Wayne → Lexington,35,947.3425714285713,880.62
Syracuse → Mobile,35,2412.4377142857143,2406.07
Nashville → Baton Rouge,35,1189.6242857142856,1161.24
Nashville → Bakersfield,34,3809.8705882352942,3751.5950000000003
Bakersfield → Kansas City,34,3371.081176470588,3389.895
Bakersfield → Fort Wayne,34,4028.823529411765,4079.5150000000003
Bakersfield → Lexington,34,4091.213529411765,4165.57
Shreveport → Fort Wayne,34,1881.094705882353,1867.495
Grand Rapids → Mobile,34,2030.3902941176473,2028.44
Tucson → Bakersfield,33,797.0933333333334,799.27
Nashville → Cincinnati,33,537.7957575757575,539.46
Atlanta → Nashville,33,405.3251515151515,411.54
Phoenix → Oklahoma City,33,2767.6051515151516,2592.78
Oklahoma City → Fort Wayne,33,2370.7154545454546,2349.25
Fort Wayne → Bakersfield,33,4115.507878787879,4151.22
Mobile → Cincinnati,33,1169.7663636363636,1084.28
Bakersfield → Atlanta,33,4092.049090909091,4014.1
Oklahoma City → Baton Rouge,33,1188.2475757575758,1070.18
Fort Wayne → Tucson,33,3778.3912121212124,3819.58
Richmond → Bakersfield,32,4985.745625,5016.035
Cincinnati → Bakersfield,32,3833.8840625000003,3779.365
Hartford → Milwaukee,32,2120.4375,2069.575
Phoenix → Baton Rouge,32,3282.616875,3292.7200000000003
