feature,importance_mean,importance_std
distance,0.02421419670108662,0.00045533877074512675
lon_difference,0.011815872078113899,0.0002677512879358583
distance_log,0.004574719619904499,0.00023502053908086955
geo_distance,0.004299644508500932,0.00032625763646202186
quote_signal,0.0038275300218629125,0.00011275532081985904
distance_weight_interaction,0.003681517753739172,0.00024351044536858124
weight_per_mile,0.001613273315706465,0.0002657027978867987
equipment,0.00124110374463271,0.0002576678188912795
quote_signal_squared,0.000523581542984175,0.00010709795903558304
pickup_lon,0.00035088600170638526,7.801865084812126e-05
delivery,0.0002560413742685341,7.235687668198726e-05
market_index,0.00022464374551418588,4.444550499168025e-05
distance_squared,0.0002007818604397471,5.07353009674746e-05
delivery_lat,6.414043446056894e-05,0.00011697563153664839
weekday_cos,2.8634605496336007e-05,3.5890684366653215e-05
market_index_squared,1.9842491292365592e-05,4.173804356244793e-05
market_index_log,9.886512907542056e-06,1.2378963260480119e-05
is_weekend,9.746818614075892e-06,4.9972689508437175e-06
delivery_lon,8.449325650872198e-06,6.493992119887698e-05
year,0.0,0.0
week_of_year,0.0,0.0
day_of_year,0.0,0.0
month,0.0,0.0
month_sin,0.0,0.0
month_cos,-2.741012485785177e-06,4.4408371196074314e-06
pickup,-6.01825704507064e-06,9.497398496345089e-05
quote_signal_abs,-1.0032119644165504e-05,9.14355677071843e-06
weekday_sin,-5.273902888802695e-05,0.00010139528086105121
weight,-5.669696802215185e-05,2.5851135179942195e-05
day_of_week,-7.105941767804325e-05,0.00010037038755944206
weight_log,-9.096324920392363e-05,0.00010765668782468726
day,-0.00011415920253057265,0.00014639398271815886
weight_squared,-0.00013981582633277868,0.00012151752137538435
lat_difference,-0.0005992726896693057,0.00011927957342491741
pickup_lat,-0.0006487091062808758,0.00018038720252512274
route,-0.0007712951658504607,0.0001378469107045581
