delivery,high_rate_loads,mean_rate,max_rate
Phoenix,9,15158.46111111111,23580.42
Oklahoma City,7,11448.405714285715,20132.37
Baltimore,6,12945.878333333334,19042.39
Lubbock,6,11858.865,14317.13
Bakersfield,5,14499.88,19110.3
Albany,5,9585.876,10945.08
Hartford,5,12974.0,25533.0
Baton Rouge,5,10046.89,12569.71
Fresno,5,16447.586,20361.89
Shreveport,5,11610.104,12422.22
Syracuse,4,16244.994999999999,24294.98
Houston,4,8996.525,10270.54
Philadelphia,4,13866.505000000001,23662.71
Reno,4,14167.8625,17688.63
Fort Wayne,3,10011.65,12854.51
Amarillo,3,10838.993333333334,11797.79
Buffalo,3,11672.01,15165.13
Boston,3,9662.543333333333,10769.23
Columbia,3,11034.886666666665,14403.14
Mobile,3,12116.976666666667,12403.35
Tucson,3,13272.713333333333,17893.17
Albuquerque,3,12329.029999999999,14784.38
Lexington,3,9637.856666666667,10528.39
Nashville,3,14408.953333333333,16951.43
Memphis,3,12270.1,14561.21
Jacksonville,3,12200.416666666666,14536.22
Little Rock,3,9483.963333333333,9939.89
Salt Lake City,2,11490.275,11668.74
Raleigh,2,15762.305,22755.66
Richmond,2,11778.015,15003.55
Cincinnati,2,11627.275,13875.07
Charleston,2,16620.115,22534.65
Grand Rapids,2,10572.925,11895.25
Savannah,2,10941.71,11700.83
San Antonio,2,10181.654999999999,10965.67
Indianapolis,2,10227.560000000001,12100.18
Montgomery,2,10763.25,11700.79
Detroit,2,10964.485,13503.63
Tulsa,2,7643.53,7683.65
Toledo,2,8571.265,8592.93
New York,2,11093.61,11377.49
Dayton,1,12906.22,12906.22
Corpus Christi,1,7648.0,7648.0
Dallas,1,9457.25,9457.25
Atlanta,1,13409.18,13409.18
El Paso,1,14949.25,14949.25
Harrisburg,1,8631.33,8631.33
Greensboro,1,11839.2,11839.2
Milwaukee,1,14079.19,14079.19
Kansas City,1,9445.95,9445.95
Las Vegas,1,11596.28,11596.28
Madison,1,11981.0,11981.0
Los Angeles,1,17772.53,17772.53
Tampa,1,10498.93,10498.93
