month,total_loads,high_rate_loads,mean_rate,high_rate_percentage
1,4918,16,2255.9670475803173,0.32533550223668156
2,4337,9,2273.804800553378,0.20751671662439475
3,5036,11,2372.2680917394755,0.21842732327243844
4,4819,12,2372.1623075326834,0.24901431832330356
5,4913,13,2421.776342357012,0.2646041115408101
6,4783,25,2497.0301149905913,0.5226845076311939
7,4912,19,2415.162029723127,0.38680781758957655
8,4759,13,2338.407661273377,0.27316663164530364
9,4670,16,2406.374012847966,0.3426124197002141
10,4853,20,2379.051374407583,0.41211621677313004
