pickup,high_rate_loads,mean_rate,max_rate
El Paso,9,10857.442222222222,13875.07
Phoenix,9,14984.605555555558,24294.98
Baton Rouge,6,10305.468333333332,13817.43
Los Angeles,6,14876.800000000001,24140.21
Tucson,6,11961.641666666668,22755.66
Boston,5,12633.314,19110.3
Atlanta,5,13871.302,18972.15
Hartford,5,11549.542,13918.0
Mobile,5,12116.823999999999,17333.65
Montgomery,5,12445.617999999999,20361.89
Lexington,4,11968.8675,17742.34
Reno,4,14930.7675,23662.71
Bakersfield,4,15718.32,25533.0
Albuquerque,4,11866.3775,14079.19
Albany,4,11329.130000000001,14425.42
Grand Rapids,3,11410.57,13026.22
Fresno,3,11791.37,13847.57
Green Bay,3,10101.713333333333,11797.79
Dallas,3,11293.526666666667,13435.73
Oklahoma City,3,13656.656666666668,19042.39
Houston,3,10208.026666666667,11377.49
Milwaukee,3,12493.29,17514.11
Richmond,3,12243.446666666665,13432.05
Nashville,3,8375.35,8904.72
Providence,2,12071.34,14934.48
San Francisco,2,12824.994999999999,13409.18
Washington,2,11857.384999999998,14317.13
Syracuse,2,8913.165,9471.39
Columbia,2,14666.5,17893.17
Corpus Christi,2,10855.86,11596.28
Greensboro,2,14032.965,16841.6
Buffalo,2,9653.005000000001,11708.49
Amarillo,2,9059.79,9350.63
Baltimore,2,18910.5,20132.37
Charleston,2,18065.22,23580.42
Cincinnati,2,8421.54,9195.08
Jacksonville,2,11166.295,12797.54
Kansas City,2,11227.185,14362.88
Little Rock,2,8932.835,9313.19
Harrisburg,1,7679.26,7679.26
Fort Wayne,1,12454.19,12454.19
Chattanooga,1,10036.5,10036.5
Austin,1,7777.29,7777.29
Indianapolis,1,11668.74,11668.74
New Orleans,1,10537.71,10537.71
Madison,1,10965.67,10965.67
Las Vegas,1,12569.71,12569.71
New York,1,7603.41,7603.41
San Antonio,1,13503.63,13503.63
Philadelphia,1,9457.25,9457.25
Raleigh,1,7607.75,7607.75
St. Louis,1,14628.56,14628.56
Shreveport,1,11052.72,11052.72
Toledo,1,14784.38,14784.38
Tulsa,1,11684.7,11684.7
