route,total_loads,high_rate_loads,mean_rate,max_rate,high_rate_percentage
Los Angeles → Mobile,22,2,4668.402272727273,12284.47,9.090909090909092
Tucson → Houston,19,2,3446.4594736842105,10270.54,10.526315789473683
Phoenix → Jacksonville,22,2,5094.185909090909,14536.22,9.090909090909092
Albany → Shreveport,17,1,3706.8617647058823,10402.19,5.88235294117647
Albany → Albuquerque,14,1,5332.525000000001,14425.42,7.142857142857142
Albany → Baton Rouge,21,1,3819.5290476190476,11408.87,4.761904761904762
Albany → Lexington,21,1,2504.75,9080.04,4.761904761904762
Albuquerque → Milwaukee,10,1,3973.612,14079.19,10.0
Amarillo → Little Rock,12,1,2542.0891666666666,9350.63,8.333333333333332
Amarillo → Raleigh,12,1,4058.5633333333335,8768.95,8.333333333333332
Atlanta → Baltimore,10,1,2663.808,9522.01,10.0
Atlanta → Fresno,17,1,5110.328235294118,18972.15,5.88235294117647
Atlanta → Hartford,23,1,2402.2130434782607,9195.27,4.3478260869565215
Atlanta → Los Angeles,20,1,4874.058,17772.53,5.0
Atlanta → Phoenix,30,1,4430.9039999999995,13894.55,3.3333333333333335
Austin → Albuquerque,5,1,3072.2580000000003,7777.29,20.0
Bakersfield → Baton Rouge,20,1,3673.4824999999996,7772.01,5.0
Bakersfield → Buffalo,21,1,5225.964761904762,15165.13,4.761904761904762
Bakersfield → Columbia,15,1,4975.72,14403.14,6.666666666666667
Bakersfield → Hartford,35,1,5998.482285714286,25533.0,2.857142857142857
Albuquerque → Indianapolis,9,1,3838.968888888889,12100.18,11.11111111111111
Albuquerque → Lexington,14,1,3629.3014285714285,9305.14,7.142857142857142
Albuquerque → Madison,8,1,3873.83,11981.0,12.5
Baton Rouge → Albany,23,1,3668.0034782608695,9454.94,4.3478260869565215
Baltimore → Reno,7,1,7061.231428571429,17688.63,14.285714285714285
Baltimore → Oklahoma City,16,1,4739.45,20132.37,6.25
Baton Rouge → Detroit,11,1,3019.526363636364,8425.34,9.090909090909092
Baton Rouge → Salt Lake City,13,1,3616.240769230769,11311.81,7.6923076923076925
Baton Rouge → Fort Wayne,29,1,2355.103448275862,9572.69,3.4482758620689653
Baton Rouge → Grand Rapids,15,1,2867.6173333333336,9250.6,6.666666666666667
Baton Rouge → Philadelphia,19,1,3449.18,13817.43,5.263157894736842
Boston → Nashville,17,1,3038.4,10045.86,5.88235294117647
Boston → Phoenix,15,1,6420.760666666667,13420.59,6.666666666666667
Buffalo → Boston,10,1,1916.1979999999999,7597.52,10.0
Buffalo → Shreveport,16,1,2968.7475,11708.49,6.25
Charleston → Lubbock,22,1,3295.902727272727,12550.02,4.545454545454546
Boston → Bakersfield,16,1,6737.905,19110.3,6.25
Boston → Cincinnati,10,1,2994.826,9379.48,10.0
Boston → Jacksonville,11,1,3221.703636363636,11210.34,9.090909090909092
Cincinnati → Corpus Christi,9,1,2727.9377777777777,7648.0,11.11111111111111
Columbia → Bakersfield,21,1,4691.011904761905,11439.83,4.761904761904762
Columbia → Tucson,21,1,4735.547619047619,17893.17,4.761904761904762
Corpus Christi → Las Vegas,4,1,5156.9575,11596.28,25.0
Corpus Christi → Philadelphia,15,1,3940.8720000000003,10115.44,6.666666666666667
Dallas → Baltimore,4,1,5647.1325,13435.73,25.0
Dallas → Grand Rapids,2,1,6943.305,11895.25,50.0
Dallas → Toledo,4,1,3783.3,8549.6,25.0
El Paso → Charleston,14,1,4508.3435714285715,10705.58,7.142857142857142
El Paso → Cincinnati,20,1,3720.6845000000003,13875.07,5.0
El Paso → Columbia,22,1,3833.222727272727,8708.21,4.545454545454546
El Paso → Fort Wayne,18,1,3989.841111111111,12854.51,5.555555555555555
El Paso → Greensboro,11,1,4360.069090909091,11839.2,9.090909090909092
Charleston → Phoenix,20,1,5983.0605000000005,23580.42,5.0
Chattanooga → Phoenix,20,1,4308.581,10036.5,5.0
Cincinnati → Albany,22,1,2621.5736363636365,9195.08,4.545454545454546
El Paso → Tulsa,12,1,2701.8516666666665,7683.65,8.333333333333332
Fort Wayne → Oklahoma City,23,1,2818.0652173913045,12454.19,4.3478260869565215
Fresno → Memphis,17,1,4558.888235294118,13847.57,5.88235294117647
Fresno → Montgomery,15,1,4731.722666666667,9825.71,6.666666666666667
Fresno → Savannah,11,1,5467.419999999999,11700.83,9.090909090909092
Grand Rapids → Boston,9,1,3074.548888888889,10769.23,11.11111111111111
Grand Rapids → Lubbock,14,1,3679.94,13026.22,7.142857142857142
Grand Rapids → Reno,8,1,4637.5925,10436.26,12.5
Green Bay → Amarillo,12,1,3579.0141666666664,11797.79,8.333333333333332
Green Bay → Houston,20,1,2895.1185,10168.3,5.0
Green Bay → Lubbock,7,1,3618.5485714285714,8339.05,14.285714285714285
Greensboro → Lubbock,13,1,3323.9615384615386,11224.33,7.6923076923076925
Greensboro → Phoenix,12,1,5431.278333333333,16841.6,8.333333333333332
Harrisburg → Oklahoma City,10,1,3466.2879999999996,7679.26,10.0
Hartford → Little Rock,8,1,3530.03125,9161.37,12.5
Hartford → Memphis,18,1,2777.9177777777777,8401.52,5.555555555555555
Hartford → Mobile,27,1,2903.244074074074,12403.35,3.7037037037037033
Hartford → Oklahoma City,26,1,4137.76,13863.47,3.8461538461538463
Hartford → Reno,17,1,5832.136470588236,13918.0,5.88235294117647
Houston → Hartford,20,1,3678.5635,10119.16,5.0
Houston → New York,10,1,3998.732,11377.49,10.0
Houston → Tucson,11,1,3338.115454545455,9127.43,9.090909090909092
Indianapolis → Salt Lake City,7,1,4644.567142857143,11668.74,14.285714285714285
Jacksonville → Oklahoma City,23,1,2488.202608695652,9535.05,4.3478260869565215
Jacksonville → Tucson,9,1,4949.635555555556,12797.54,11.11111111111111
Kansas City → Phoenix,29,1,4028.0506896551724,14362.88,3.4482758620689653
Kansas City → Syracuse,26,1,2106.908076923077,8091.49,3.8461538461538463
Las Vegas → Baton Rouge,7,1,4132.9,12569.71,14.285714285714285
Lexington → Albany,20,1,2605.6815,10566.25,5.0
El Paso → Kansas City,29,1,3014.1386206896555,9445.95,3.4482758620689653
El Paso → Savannah,14,1,4330.358571428572,10182.59,7.142857142857142
El Paso → Shreveport,12,1,3318.7616666666668,12422.22,8.333333333333332
Lexington → Philadelphia,28,1,1913.4971428571428,7870.44,3.571428571428571
Lexington → Lubbock,15,1,3071.7233333333334,11696.44,6.666666666666667
Lexington → Fresno,25,1,4966.252799999999,17742.34,4.0
Little Rock → Buffalo,15,1,3011.934,9313.19,6.666666666666667
Los Angeles → Nashville,18,1,4524.2572222222225,16229.57,5.555555555555555
Los Angeles → Richmond,25,1,5565.9352,15003.55,4.0
Little Rock → Richmond,13,1,2552.8046153846153,8552.48,7.6923076923076925
Los Angeles → Little Rock,14,1,4031.537857142857,9939.89,7.142857142857142
Milwaukee → Bakersfield,22,1,4433.205909090909,17514.11,4.545454545454546
Milwaukee → Baltimore,12,1,2600.1891666666666,8236.26,8.333333333333332
Milwaukee → Fresno,14,1,4668.826428571429,11729.5,7.142857142857142
Mobile → Amarillo,17,1,2989.015882352941,11247.8,5.88235294117647
Mobile → Bakersfield,25,1,4242.1108,12750.46,4.0
Mobile → Boston,13,1,3193.583846153846,10620.88,7.6923076923076925
Los Angeles → Syracuse,12,1,6374.636666666666,24140.21,8.333333333333332
Madison → San Antonio,15,1,2932.85,10965.67,6.666666666666667
Montgomery → Albany,21,1,3201.9504761904764,10945.08,4.761904761904762
Montgomery → El Paso,17,1,4026.383529411765,14949.25,5.88235294117647
Montgomery → Fresno,11,1,6095.699090909091,20361.89,9.090909090909092
Montgomery → Houston,21,1,1734.5314285714285,7773.37,4.761904761904762
Montgomery → Oklahoma City,25,1,2171.9976,8198.5,4.0
Nashville → Albany,13,1,2934.4853846153846,7768.03,7.6923076923076925
Nashville → Hartford,25,1,2531.1924,8904.72,4.0
Nashville → Syracuse,19,1,2275.9015789473683,8453.3,5.263157894736842
New Orleans → Buffalo,6,1,3770.815,10537.71,16.666666666666664
New York → Tulsa,12,1,3237.8025,7603.41,8.333333333333332
Oklahoma City → Baltimore,15,1,4738.5526666666665,19042.39,6.666666666666667
Oklahoma City → Hartford,29,1,4087.863103448276,11117.85,3.4482758620689653
Oklahoma City → New York,25,1,3760.348,10809.73,4.0
Philadelphia → Dallas,5,1,4276.364,9457.25,20.0
Mobile → Harrisburg,8,1,3288.92,8631.33,12.5
Mobile → Phoenix,36,1,4180.469166666667,17333.65,2.7777777777777777
Phoenix → Charleston,25,1,5350.8212,22534.65,4.0
Phoenix → Baltimore,7,1,7026.094285714285,16386.16,14.285714285714285
Phoenix → Nashville,31,1,4358.1325806451605,16951.43,3.225806451612903
Phoenix → Lexington,31,1,4395.762580645161,10528.39,3.225806451612903
Phoenix → Syracuse,28,1,5718.156785714286,24294.98,3.571428571428571
Phoenix → Tampa,13,1,4562.456153846154,10498.93,7.6923076923076925
Providence → Baton Rouge,7,1,4220.464285714285,9208.2,14.285714285714285
Phoenix → Oklahoma City,33,1,2767.6051515151516,8276.0,3.0303030303030303
Raleigh → Fort Wayne,18,1,1724.256111111111,7607.75,5.555555555555555
Reno → Dayton,10,1,4856.072,12906.22,10.0
Reno → Memphis,16,1,4358.343125,14561.21,6.25
Reno → Philadelphia,15,1,6555.731333333333,23662.71,6.666666666666667
Reno → Toledo,13,1,4407.824615384616,8592.93,7.6923076923076925
Richmond → Fresno,17,1,5708.051764705882,13432.05,5.88235294117647
Richmond → Phoenix,37,1,5190.1945945945945,12021.48,2.7027027027027026
Providence → Phoenix,12,1,6859.190833333333,14934.48,8.333333333333332
Richmond → Shreveport,22,1,2775.970909090909,11276.81,4.545454545454546
San Antonio → Detroit,6,1,4734.948333333333,13503.63,16.666666666666664
San Francisco → Shreveport,12,1,4682.412499999999,12240.81,8.333333333333332
San Francisco → Atlanta,8,1,5646.405,13409.18,12.5
St. Louis → Reno,6,1,5370.6883333333335,14628.56,16.666666666666664
Syracuse → Amarillo,15,1,4296.200666666667,9471.39,6.666666666666667
Syracuse → Indianapolis,9,1,2482.387777777778,8354.94,11.11111111111111
Shreveport → Baltimore,14,1,3597.835714285714,11052.72,7.142857142857142
Toledo → Albuquerque,7,1,4528.651428571428,14784.38,14.285714285714285
Tucson → Baton Rouge,15,1,3317.0153333333337,9275.66,6.666666666666667
Tucson → Columbia,24,1,4387.8116666666665,9993.31,4.166666666666666
Tucson → Montgomery,19,1,4208.372105263158,11700.79,5.263157894736842
Tucson → Raleigh,8,1,7184.45875,22755.66,12.5
Tulsa → Bakersfield,22,1,3406.2677272727274,11684.7,4.545454545454546
Washington → Lubbock,7,1,4855.681428571428,14317.13,14.285714285714285
Washington → San Antonio,6,1,4316.126666666666,9397.64,16.666666666666664
