market_index_bucket,count,mean_rate,median_rate,max_rate
"(0.675, 0.871]",4763,2330.433802225488,2010.31,19110.3
"(0.871, 0.926]",4763,2292.8922002939325,1968.03,17893.17
"(0.926, 0.971]",4763,2331.916036111694,2006.15,17742.34
"(0.971, 1.013]",4763,2349.990613058996,1981.82,24140.21
"(1.013, 1.056]",4763,2356.9025572118417,1990.73,24294.98
"(1.056, 1.121]",4762,2345.507519949601,2024.005,18972.15
"(1.121, 1.193]",4761,2402.6880130224745,2067.47,25533.0
"(1.193, 1.253]",4763,2427.1694982154104,2090.56,23580.42
"(1.253, 1.333]",4762,2434.927001259975,2070.1800000000003,22755.66
"(1.333, 1.468]",4763,2465.9745034642033,2073.79,19042.39
