quote_signal_bucket,count,mean_rate,median_rate,max_rate
"(0.691, 1.735]",4800,1473.64888125,1038.495,17688.63
"(1.735, 1.851]",4801,2598.3607019370966,2304.07,25533.0
"(1.851, 1.928]",4799,2679.470337570327,2430.05,24140.21
"(1.928, 1.994]",4800,2640.3195729166664,2297.865,22755.66
"(1.994, 2.056]",4803,2639.4706787424525,2297.59,17333.65
"(2.056, 2.118]",4797,2635.3219095267873,2270.13,22534.65
"(2.118, 2.185]",4800,2665.7802520833334,2353.04,24294.98
"(2.185, 2.266]",4800,2674.9937458333334,2401.185,17514.11
"(2.266, 2.403]",4800,2469.5268125,2051.335,20132.37
"(2.403, 3.61]",4800,1262.9282354166667,987.465,11276.81
