config,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,MAE,RMSE,R2
1,700,0.05,8,5,0.85,0.85,134.71480370432317,641.3407831009231,0.8233804235465443
2,700,0.05,6,5,0.85,0.85,127.14283337789462,640.1184464417935,0.8240530233773722
3,700,0.05,7,5,0.85,0.85,130.78339962500328,640.9925353345469,0.8235721801769662
4,700,0.05,9,5,0.85,0.85,140.74949630139645,643.3035210338581,0.822297728038158
5,700,0.05,10,5,0.85,0.85,144.37127167545998,645.1608498146461,0.8212701322258241
6,1000,0.03,7,5,0.85,0.85,130.21681483483349,640.6100127415392,0.8237826896173589
7,1000,0.03,8,5,0.85,0.85,133.1555019042097,641.2738351795373,0.8234172953522245
8,500,0.07,7,5,0.85,0.85,130.31793369840003,640.5939041175584,0.8237915517414149
9,500,0.07,8,5,0.85,0.85,135.8316602595028,642.7878456316372,0.8225825079572907
10,700,0.05,8,3,0.85,0.85,136.61932165784995,645.3646377428544,0.8211572030486574
11,700,0.05,8,8,0.85,0.85,137.64662911862644,641.856682384005,0.823096161066331
12,700,0.05,8,5,0.75,0.85,136.40889200380613,641.8715368984977,0.8230879727865507
13,700,0.05,8,5,0.95,0.85,137.43283959427689,642.7205180431479,0.8226196725253307
14,700,0.05,8,5,0.85,0.7,134.90252497826756,641.1657844707125,0.8234767965448035
15,700,0.05,8,5,0.85,1.0,137.13823427356743,642.4710050831759,0.8227573687662006
