pickup,delivery,count,MAE,mean_actual,mean_prediction
Columbia,Tucson,5,2853.3817929687493,6870.594,4017.2122
Milwaukee,Bakersfield,7,2087.7207784598218,5950.05,3893.732
Montgomery,El Paso,6,2007.723487955729,5235.831666666666,3235.3057
Tulsa,Bakersfield,5,1862.0432949218753,4805.066000000001,2943.0227
Albuquerque,Lexington,5,1286.7435195312496,4437.832,3167.711
Lexington,Lubbock,8,1222.9749731445313,3604.1275,2381.1526
Fort Wayne,Albany,5,1161.4101835937502,3039.022,1877.6117
Tucson,Houston,5,1083.14656640625,3760.8900000000003,2878.8215
Phoenix,Oklahoma City,6,1005.8116813151042,3543.1583333333333,2557.3435
Atlanta,Phoenix,11,959.2942808948861,4977.79909090909,4025.8796
Fort Wayne,Atlanta,6,933.7949161783854,2109.86,1176.0651
Fort Wayne,Hartford,11,722.3032701526989,2444.8036363636365,1722.6902
Los Angeles,Mobile,5,721.2960605468749,4070.16,4753.8213
Milwaukee,Los Angeles,5,703.304080078125,3623.1519999999996,4081.4832
Tampa,Mobile,5,692.5295634765625,1489.9699999999998,800.9577
Savannah,Reno,6,660.7647314453125,4586.706666666666,3925.9421
Hartford,Fort Wayne,6,649.0750626627605,2383.765,1736.7155
Jacksonville,Baton Rouge,5,608.0967734374999,1910.568,1315.8525
Montgomery,Raleigh,6,551.8026310221355,2083.2916666666665,1576.1001
Fort Wayne,Phoenix,6,551.5975585937503,3706.888333333334,4158.349
Amarillo,Greensboro,5,540.2294199218749,2696.6079999999997,3116.1897
Oklahoma City,Mobile,7,527.1790032087054,1611.6114285714286,1084.4324
Nashville,Tucson,6,526.6819270833332,3183.395,3550.671
Bakersfield,Memphis,5,515.4650996093749,3201.174,3646.9575
Oklahoma City,Baltimore,7,472.9617522321429,3659.0485714285714,4132.0103
Kansas City,Atlanta,8,472.6633480834961,1593.34875,1120.6854
Bakersfield,Tucson,6,463.0056453450521,1254.24,791.2344
Memphis,Philadelphia,5,417.04135937500007,1997.604,2355.917
Lexington,Phoenix,9,407.71955295138883,4345.986666666667,3940.942
Charleston,Phoenix,6,401.5276171874998,4869.405,5270.9326
Kansas City,Lexington,6,401.19483032226566,1486.6733333333332,1089.1914
Shreveport,Providence,6,394.13114420572924,2893.3933333333334,3151.879
Lexington,Bakersfield,5,381.23957226562504,4247.8279999999995,3866.5884
Philadelphia,Tucson,7,378.0519335937501,5406.105714285714,5028.0537
Memphis,Atlanta,6,356.4658666992188,854.9683333333332,650.0047
Phoenix,Jacksonville,7,351.1836021205358,4306.762857142857,4657.4775
El Paso,Indianapolis,5,336.26507421874993,2951.9139999999998,2615.649
Fort Wayne,Lexington,10,335.2944851074219,1200.096,866.9586
Tulsa,Oklahoma City,6,325.2660396321615,1089.9233333333334,782.3244
Atlanta,Richmond,9,322.5853325737847,1233.0788888888887,1341.726
Lexington,Charleston,5,310.801806640625,1301.348,991.8371
Oklahoma City,Jacksonville,7,308.3952490234375,1993.6642857142856,2205.8655
New York,Milwaukee,5,292.7835947265625,1606.3759999999997,1869.7953
El Paso,Lubbock,5,288.98188964843746,1922.3200000000002,1633.3381
Green Bay,Philadelphia,5,286.546720703125,1744.172,1994.8245
Kansas City,Los Angeles,5,286.4605117187499,3903.786,3617.3254
Bakersfield,New York,5,284.45814453124984,5331.41,5046.952
Kansas City,Mobile,5,277.42118652343754,1325.172,1367.7104
Baton Rouge,Salt Lake City,5,273.6047753906249,3076.79,3350.395
Lexington,Providence,5,267.5405576171875,2078.094,1810.5535
Fresno,Mobile,5,264.1366875,4770.482,4506.345
Philadelphia,Phoenix,6,245.4445214843748,5560.56,5315.1157
Richmond,Fort Wayne,5,243.75817480468746,1046.9360000000001,1286.762
Charleston,Baton Rouge,7,239.01700055803568,1890.054285714286,2093.301
Greensboro,Columbia,7,233.93514421735492,591.9,373.85034
Columbia,Los Angeles,5,232.82716406249983,4620.2339999999995,4387.407
Fort Wayne,Tucson,12,230.0375472005209,3687.3375,3855.6914
Harrisburg,Fresno,5,225.30260546874996,5407.932,5182.6294
Los Angeles,Philadelphia,6,217.14649739583334,5683.5233333333335,5475.3413
Hartford,Atlanta,8,212.59719848632812,1900.5475000000001,2102.7566
Richmond,Bakersfield,5,204.07107031250015,5075.784,4879.7056
Hartford,Amarillo,7,202.07214704241065,4269.335714285714,4067.2634
Phoenix,Albany,5,201.67246875,6109.7919999999995,5908.1196
Los Angeles,Columbia,6,200.31459798177085,4399.935,4199.6206
Shreveport,Philadelphia,5,198.95949609375003,2795.5260000000003,2596.5664
Bakersfield,Cincinnati,10,198.84918066406254,4029.389,3830.5398
Montgomery,Phoenix,10,194.88422363281242,4134.1050000000005,3939.2207
Oklahoma City,Indianapolis,8,192.88134765625,1750.62375,1839.9274
New York,El Paso,6,192.88029296875007,4704.038333333333,4511.158
Hartford,El Paso,8,190.863037109375,4768.03125,4577.168
Los Angeles,Albany,8,186.92667724609373,5873.82375,5704.622
Lubbock,Hartford,6,186.66609049479152,4119.631666666667,3932.9656
Atlanta,San Antonio,7,186.073025251116,2085.6385714285716,1955.6543
Syracuse,Bakersfield,5,185.08989062500004,4873.502,4688.412
Corpus Christi,Philadelphia,6,184.17007324218753,3531.2383333333332,3715.4084
Phoenix,Syracuse,6,184.02366210937498,4976.753333333333,5108.9106
Bakersfield,Lexington,6,182.44405110677084,4250.1883333333335,4084.6365
Phoenix,New York,7,182.07976283482145,5497.215714285715,5315.136
Tucson,Phoenix,9,176.30938747829862,656.8544444444445,833.1638
El Paso,Fort Wayne,5,176.05330664062504,3495.3360000000002,3671.3894
Los Angeles,Green Bay,5,176.02500781249992,4167.442,3991.4172
Grand Rapids,Baton Rouge,8,172.4328723144531,2418.86375,2246.431
Amarillo,New York,5,167.1008945312501,4216.734,4049.6333
Bakersfield,Philadelphia,6,163.6808691406251,5648.81,5764.3843
Albany,San Antonio,6,163.55126953125014,4197.166666666667,4033.6152
El Paso,Hartford,5,160.56399218749993,5201.072,5040.508
Bakersfield,Providence,5,159.25656640625002,6061.376,5919.9526
Tucson,Hartford,6,158.38355468749992,5336.115,5177.7314
Nashville,Buffalo,9,157.04316514756945,1595.1155555555556,1675.6013
Los Angeles,Nashville,7,153.82187081473208,3923.0600000000004,4076.8816
Albany,Tucson,7,151.08961774553558,5340.022857142858,5212.03
Harrisburg,Los Angeles,5,148.04775781249992,5282.2660000000005,5166.556
Charleston,Shreveport,5,147.24634374999997,1913.744,1766.4977
Phoenix,Fort Wayne,5,146.21503320312513,4531.906,4385.691
Phoenix,Shreveport,5,145.96971875,3615.6580000000004,3469.6882
Fresno,Raleigh,5,144.38157812500012,5111.914,4967.532
Dayton,Charleston,6,142.72593505859373,1276.645,1387.167
Phoenix,Columbia,6,140.75396321614576,4468.900000000001,4328.146
