date,pickup,delivery,equipment,distance,posted_rate,predicted_rate,absolute_error,percentage_error
2025-09-01,Savannah,Columbia,Dry Van,126.8,323.23,342.30402,19.074016113281232,5.901066148959326
2025-09-01,El Paso,Phoenix,Flatbed,540.2,1264.2,1281.9031,17.703076171874955,1.4003382512161804
2025-09-01,Nashville,Madison,Dry Van,549.3,1203.42,1216.249,12.829023437499927,1.0660470523591037
2025-09-01,Tampa,Charleston,Dry Van,689.3,1478.3,1476.2744,2.0255859374999545,0.1370213040316549
2025-09-01,Columbia,San Antonio,Dry Van,1103.7,2311.83,2217.2703,94.55973632812493,4.090254747456557
2025-09-01,St. Louis,Fresno,Dry Van,1955.5,3527.11,3521.7861,5.323867187500127,0.15094134255807523
2025-09-01,Montgomery,Greensboro,Dry Van,437.4,1052.15,1056.3408,4.190820312499909,0.39831015658412855
2025-09-01,Cincinnati,Kansas City,Reefer,339.9,907.09,944.1784,37.08840576171872,4.088723915126251
2025-09-01,Philadelphia,Hartford,Dry Van,71.4,187.49,226.2386,38.7486016845703,20.66702313967161
2025-09-01,Raleigh,Cincinnati,Dry Van,633.8,1347.42,1352.1117,4.691694335937427,0.34819835952690525
2025-09-01,Cincinnati,Fresno,Dry Van,2178.1,3913.63,3913.8582,0.22815429687489086,0.005829735996373976
2025-09-01,Shreveport,Jacksonville,Flatbed,549.8,1308.86,1304.2427,4.6173242187499,0.35277449221077123
2025-09-01,El Paso,Indianapolis,Dry Van,1521.2,2843.97,2513.4387,330.5312792968748,11.622178830890439
2025-09-01,Los Angeles,Baton Rouge,Dry Van,1702.1,3182.84,3072.5781,110.26187500000015,3.4642606917092955
2025-09-01,San Francisco,Boston,Dry Van,3387.5,6146.13,5677.5117,468.6182812500001,7.624607374884686
2025-09-01,Nashville,Syracuse,Dry Van,906.5,1846.46,1908.5232,62.063193359374964,3.3611989081472093
2025-09-01,Green Bay,Fort Wayne,Dry Van,291.4,645.51,657.1738,11.663828125000009,1.8069167208873618
2025-09-01,Memphis,Shreveport,Reefer,356.5,956.77,1000.08026,43.31026123046877,4.5267160582448
2025-09-01,Green Bay,Amarillo,Dry Van,1403.9,2570.31,2985.0168,414.70684570312505,16.134506954535645
2025-09-01,Green Bay,Corpus Christi,Flatbed,1336.6,2800.31,2916.1978,115.88775390625005,4.138390174882426
2025-09-01,Lubbock,Buffalo,Reefer,1682.4,3540.56,3649.4482,108.88824218750005,3.0754525325795936
2025-09-01,Oklahoma City,Corpus Christi,Reefer,339.8,940.89,945.78827,4.898269042968764,0.5205995433014236
2025-09-01,Green Bay,New York,Reefer,878.3,1965.28,1893.543,71.73703124999997,3.650219370776682
2025-09-01,Richmond,Baltimore,Dry Van,261.8,640.92,652.4384,11.518415527343791,1.7971689957161257
2025-09-01,Lubbock,Buffalo,Dry Van,1660.3,3084.4,3148.8826,64.48256835937491,2.0906033056469626
2025-09-01,Baltimore,Savannah,Dry Van,728.9,1518.53,1488.7664,29.763642578124973,1.9600299354062796
